29/01/2019,DISCOUNT ON FUEL PURCHASECHENNAI,2.25 Cr
31/01/2019,DISCOUNT ON FUEL PURCHASECHENNAI,3.75 Cr
19/02/2019,MAHARAJA FANCY STOREBANGALORE,199.00
19/02/2019,SPIN UNISEX SALONBANGALORE,236.00
19/02/2019,FEET SHOPHOBLI,974.00
19/02/2019,IGST-VPS1905116149035-RATE 18.0 -29 (Ref# 09999999980219002890330),36.86
23/02/2019,ROYALSUN BILLDESKMUMBAI,"3,912.00"
25/02/2019,TRIVENI PETRO OUTLETBANGALORE,303.00
25/02/2019,TRIVENI PETRO OUTLETBANGALORE,2.25 Cr
27/02/2019,QUIXOTICBANGALORE,982.00
28/02/2019,DEVI UPAHARBANGALORE,120.00
28/02/2019,MOHAN ENTERPRISESBANGALORE,511.80
28/02/2019,ARBOR BREWPUB PVT LTD  BANGALORE,"1,100.00"
28/02/2019,PETRO SURCHARGE WAIVER,5.07 Cr
02/03/2019,INDIAN RAILWAY CATERINGNEW DELHI,570.08
02/03/2019,PAYTM IVR E COMMERCENOIDA,100.00
03/03/2019,BANGALORE WINE STORESBANGALORE,450.00
05/03/2019,MOHAN ENTERPRISESBANGALORE,511.80
05/03/2019,PETRO SURCHARGE WAIVER,5.07 Cr
06/03/2019,WWW AIRTEL INGURGAON,169.00
07/03/2019,NETBANKING TRANSFER (Ref# 00000000000307009255679),"10,377.00 Cr"
09/03/2019,CAFE COFFEE DAYDOBESPET,230.00
10/03/2019,KAMAT YATRINIWAS PVT LHAVERI,606.00
12/03/2019,MOHAN ENTERPRISESBANGALORE,511.80
12/03/2019,QUIXOTICBANGALORE,262.00
12/03/2019,PETRO SURCHARGE WAIVER,5.07 Cr
14/03/2019,ITUNES.COM/BILLITUNES.COM,120.00
15/03/2019,PRAKRUTHI MOBIKESBANGALORE,461.00
15/03/2019,PAYTM IVR E COMMERCENOIDA,100.00
16/03/2019,MS B M BASAVANNA HPCL D  HASSAN,3.75 Cr
16/03/2019,PETRO SURCHARGE WAIVER,5.00 Cr
16/03/2019,MOHAN ENTERPRISESBANGALORE,351.80
16/03/2019,MOHAN ENTERPRISESBANGALORE,611.80
16/03/2019,PETRO SURCHARGE WAIVER,6.06 Cr
16/03/2019,MS B M BASAVANNA HPCL D  HASSAN,505.00
17/03/2019,PATHANJALI VEGHASSAN,"1,220.00"
18/03/2019,SITI NETWORKS LIMI INRMUMBAI,339.90
19/03/2019,"M-SKYLER CORP,P:02,0000434 (Ref# 09999999980319002894678)","3,098.98"
19/03/2019,"MER EMI  ,INT NBR:02,00000000000434 (Ref# 09999999980319002894686)",171.53
19/03/2019,FINANCE CHARGES (Ref# 19999999980319999744290),899.98
19/01/2019,KHIVRAJ MOTORSBANGALORE,638.00
20/01/2019,SHELL MOHAN ENTERPRISEBANGALORE,505.00
20/01/2019,CHANDU DHABABANGALORE,555.00
20/01/2019,PETRO SURCHARGE WAIVER,5.00 Cr
20/01/2019,MOHAN ENTERPRISESBANGALORE,161.80
24/01/2019,SLUGBANGALORE,"4,695.00"
25/01/2019,PETRO SURCHARGE WAIVER,5.07 Cr
25/01/2019,MOHAN ENTERPRISESBANGALORE,511.80
26/01/2019,PAYTMNOIDA,211.00
27/01/2019,SHOW OFFBANGALORE,"5,662.00"
29/01/2019,JAI HANUMAN SERVICE STATIBANGALORE,310.00
31/01/2019,AHASBANGALORE,186.00
31/01/2019,SREE BALAJI PETROLEUMSBANGALORE,510.00
31/01/2019,PETRO SURCHARGE WAIVER,5.05 Cr
01/02/2019,BREWKLYN MICROBREWING PVTBANGALORE,"1,801.00"
05/02/2019,BIG BAZAARBANGALORE,699.00
05/02/2019,MSW*K MOHAMMEDBangalore,170.00
06/02/2019,NETBANKING TRANSFER (Ref# 00000000000206008518261),"8,258.00 Cr"
07/02/2019,LOHITA FUEL PARKBANGALORE,505.90
07/02/2019,PETRO SURCHARGE WAIVER,5.01 Cr
07/02/2019,BIRIYANI HOUSEBANGALORE,422.00
07/02/2019,LOHITA FUEL PARKBANGALORE,3.75 Cr
08/02/2019,RASHMI WINESBANGALORE,745.00
10/02/2019,PANTALOONS FASHION & RBANGALORE,"1,704.00"
10/02/2019,BURGER KING INDIA PVT LBANGALORE,119.70
10/02/2019,RAZ*Razorpay Software P  Bengaluru,20.00
11/02/2019,WWW AIRTEL INGURGAON,149.00
12/02/2019,MOHAN ENTERPRISESBANGALORE,311.80
12/02/2019,MADURAI CANTEENBANGALORE,458.00
13/02/2019,ITUNES.COM/BILLITUNES.COM,120.00
14/02/2019,AMAZON SELLER SERVICES MUMBAI,499.00
15/02/2019,MSW*K MOHAMMEDBangalore,160.00
16/02/2019,SHREE SHANKARA SERVICE BANGALORE,303.00
16/02/2019,SHREE SHANKARA SERVICE BANGALORE,2.25 Cr
19/02/2019,"M-SKYLER CORP,P:01,0000434 (Ref# 09999999980219002890322)","3,065.76"
19/02/2019,"MER EMI  ,INT NBR:01,00000000000434 (Ref# 09999999980219002890330)",204.75
19/05/2019,IGST-VPS1914065917250-RATE 18.0 -29 (Ref# 19999999980519999798170),192.75
19/05/2019,IGST-VPS1914065917248-RATE 18.0 -29 (Ref# 09999999980519002894335),18.72
23/05/2019,TRIVENI PETRO OUTLETBANGALORE,252.50
23/05/2019,TRIVENI PETRO OUTLETBANGALORE,1.88 Cr
31/05/2019,FUTURE LIFESTYLE FASHIO  BANGALORE,"1,468.44"
02/06/2019,WELCOMHOTEL CHENNAICHENNAI,475.00
03/06/2019,C MANJEGOWDABANGALORE,575.00
07/06/2019,SBI CARD PAYMENT SYSTEM  VISAMONEYT (Ref# VT191600073003690000100),"27,000.00 Cr"
08/06/2019,APPLE TRADERSBANGALORE,455.00
09/06/2019,SWIGGYBANGALORE,328.00
10/06/2019,PETRO SURCHARGE WAIVER,5.07 Cr
10/06/2019,MOHAN ENTERPRISESBANGALORE,511.80
11/06/2019,RHEA HEALTH CAREBANGALORE,"3,200.00"
14/06/2019,SHELL MOHAN ENTERPRISEBANGALORE,204.02
15/06/2019,C MANJEGOWDABANGALORE,640.00
17/06/2019,JIO MONEYMUMBAI,149.00
18/06/2019,BIG BAZAARBANGALORE,729.00
19/06/2019,"M-SKYLER CORP,P:05,0000434 (Ref# 09999999980619002990339)","3,200.79"
19/06/2019,"MER EMI  ,INT NBR:05,00000000000434 (Ref# 09999999980619002990347)",69.72
19/06/2019,FINANCE CHARGES (Ref# 19999999980619999736500),616.87
19/03/2019,TRIVENI PETRO OUTLETBANGALORE,299.97
19/03/2019,TRIVENI PETRO OUTLETBANGALORE,2.23 Cr
19/03/2019,IGST-VPS1907965334791-RATE 18.0 -29 (Ref# 19999999980319999744290),162.00
19/03/2019,IGST-VPS1907965334789-RATE 18.0 -29 (Ref# 09999999980319002894686),30.88
22/03/2019,ORANGE SPIRIT ZONEBANGALORE,"6,880.00"
22/03/2019,NAMDHARI AGRO FRESH PRIVABANGALORE,80.00
23/03/2019,PETRO SURCHARGE WAIVER,6.80 Cr
23/03/2019,MOHAN ENTERPRISESBANGALORE,686.80
25/03/2019,JAI HANUMAN SERVICE STABANGALORE,505.00
25/03/2019,PETRO SURCHARGE WAIVER,5.00 Cr
25/03/2019,JAI HANUMAN SERVICE STABANGALORE,3.75 Cr
28/03/2019,QUIXOTICBANGALORE,110.00
29/03/2019,JAI HANUMAN SERVICE STABANGALORE,505.00
29/03/2019,PETRO SURCHARGE WAIVER,5.00 Cr
29/03/2019,JAI HANUMAN SERVICE STABANGALORE,3.75 Cr
31/03/2019,SRI JAYALAKSHMI BAKERYBANGALORE,"9,000.00"
03/04/2019,PETRO SURCHARGE WAIVER,6.06 Cr
03/04/2019,MOHAN ENTERPRISESBANGALORE,611.80
05/04/2019,MSW*CHETAN CBangalore,"1,020.00"
05/04/2019,PAYTM IVR E COMMERCENOIDA,100.00
05/04/2019,WWW AIRTEL INGURGAON,199.00
06/04/2019,PAYTM IVR E COMMERCENOIDA,80.00
06/04/2019,NETBANKING TRANSFER (Ref# 00000000000406009491910),"34,627.00 Cr"
06/04/2019,MSW*CHETAN CBangalore,"1,270.00"
08/04/2019,PAYTM IVR E COMMERCENOIDA,50.00
09/04/2019,SWATHI ENTERPRISESBANGALORE,1.88 Cr
09/04/2019,SWATHI ENTERPRISESBANGALORE,252.50
10/04/2019,BIRIYANI HOUSEBANGALORE,387.00
11/04/2019,BALAJI TELECOMBANGALORE,100.00
12/04/2019,QUIXOTICBANGALORE,304.00
12/04/2019,JAI HANUMAN SERVICE STABANGALORE,202.00
12/04/2019,JAI HANUMAN SERVICE STABANGALORE,1.50 Cr
13/04/2019,JAGADEESH KHARA CONDIMEBANGALORE,91.00
14/04/2019,QUIXOTICBANGALORE,220.00
14/04/2019,ADESHWARS RYDERS ARENABANGALORE,"1,690.00"
15/04/2019,PAYTMNOIDA,211.00
17/04/2019,PETRO SURCHARGE WAIVER,5.07 Cr
17/04/2019,MOHAN ENTERPRISESBANGALORE,511.80
18/04/2019,MOHAN ENTERPRISESBANGALORE,311.80
18/04/2019,MOHAN ENTERPRISESBANGALORE,311.80
18/04/2019,WWW AIRTEL INGURGAON,149.00
19/04/2019,"M-SKYLER CORP,P:03,0000434 (Ref# 09999999980419002798737)","3,132.55"
19/04/2019,"MER EMI  ,INT NBR:03,00000000000434 (Ref# 09999999980419002798745)",137.96
18/04/2019,SIDDESHWAR PETROLEUMDAVANAGERE,791.80
18/04/2019,PETRO SURCHARGE WAIVER,7.84 Cr
19/04/2019,BPCL SHREE MAHAMAYA SERCANACONA,2.25 Cr
19/04/2019,NEWTONS ARCADE GOA 403GOA,340.00
19/04/2019,IGST-VPS1911021259804-RATE 18.0 -29 (Ref# 09999999980419002798745),24.83
19/04/2019,DELFINOS HYMARTPORVORIM,625.00
19/04/2019,BPCL SHREE MAHAMAYA SERCANACONA,303.00
21/04/2019,PETRO SURCHARGE WAIVER,6.90 Cr
21/04/2019,PETRO SURCHARGE WAIVER,6.84 Cr
21/04/2019,GOUDA PETROLEUMHAVERI,5.13 Cr
21/04/2019,PARRIKAR PETRO SERVICENORTH GOA,5.18 Cr
21/04/2019,GOUDA PETROLEUMHAVERI,690.84
21/04/2019,PARRIKAR PETRO SERVICENORTH GOA,696.90
24/04/2019,JAI HANUMAN SERVICE STABANGALORE,303.00
24/04/2019,JAI HANUMAN SERVICE STABANGALORE,2.25 Cr
26/04/2019,MSW*MADESH KUMARBangalore,323.00
26/04/2019,MOHAN ENTERPRISESBANGALORE,171.80
26/04/2019,TRIVENI PETRO OUTLETBANGALORE,252.50
26/04/2019,BOOK MY SHOWMUMBAI,472.80
26/04/2019,TRIVENI PETRO OUTLETBANGALORE,1.88 Cr
28/04/2019,PAYTM IVR E COMMERCENOIDA,"5,000.00"
28/04/2019,MOHAN ENTERPRISESBANGALORE,511.80
28/04/2019,PAYTM IVR E COMMERCENOIDA,"1,500.00"
28/04/2019,PETRO SURCHARGE WAIVER,5.07 Cr
03/05/2019,SHELL MOHAN ENTERPRISEBANGALORE,252.50
05/05/2019,PETRO SURCHARGE WAIVER,10.02 Cr
05/05/2019,MOHAN ENTERPRISESBANGALORE,"1,011.80"
10/05/2019,NETBANKING TRANSFER (Ref# 00000000000510009854959),"20,000.00 Cr"
19/05/2019,"M-SKYLER CORP,P:04,0000434 (Ref# 09999999980519002894327)","3,166.49"
19/05/2019,"MER EMI  ,INT NBR:04,00000000000434 (Ref# 09999999980519002894335)",104.02
19/05/2019,FINANCE CHARGES (Ref# 19999999980519999798170),"1,070.85"
19/12/2018,IGST-VPS1835486438546-RATE 18.0 -29 (Ref# 19999999981219999797710),169.46
29/12/2018,MSW*KIRAN KUMAR SBangalore,200.00
06/01/2019,BIG BAZAARBANGALORE,"6,754.69"
07/01/2019,SBI CARD PAYMENT SYSTEM  VISAMONEYT (Ref# VT190090069000590000133),"28,259.00 Cr"
08/01/2019,NETBANKING TRANSFER (Ref# 00000000000108007864995),"1,420.00 Cr"
10/01/2019,WONDERLA HOLIDAYS LIMIBANGALORE,"1,080.00"
11/01/2019,SHELL MOHAN ENTERPRISEBANGALORE,505.00
11/01/2019,PETRO SURCHARGE WAIVER,5.00 Cr
13/01/2019,ITUNES.COM/BILLITUNES.COM,18.00
13/01/2019,ITUNES.COM/BILLITUNES.COM,120.00
15/01/2019,MOREMYSORE,535.00
17/01/2019,JAI HANUMAN SERVICE STABANGALORE,303.00
17/01/2019,JAI HANUMAN SERVICE STABANGALORE,2.25 Cr
